date,price,joules_per_coin,kwh_per_coin,Mining costs with C = 0.03 USD/kWh; PUE = 1.0,Mining costs with C = 0.05 USD/kWh; PUE = 1.1,Mining costs with C = 0.07 USD/kWh; PUE = 1.2,Price-cost price with C = 0.03 USD/kWh; PUE = 1.0,Price-cost price with C = 0.05 USD/kWh; PUE = 1.1,Price-cost price with C = 0.07 USD/kWh; PUE = 1.2
2014-03-31,565.61,1372865954.533361,381.35165403704474,11.44054962111134,20.974340972037464,32.033538939111764,554.1694503788887,544.6356590279626,533.5764610608883
2014-02-28,832.58,1039946674.4250582,288.87407622918283,8.666222286875485,15.888074192605059,24.26542240325136,823.9137777131245,816.691925807395,808.3145775967487
2014-01-31,771.4,627299073.9690725,174.24974276918678,5.227492283075604,9.583735852305274,14.63697839261169,766.1725077169244,761.8162641476947,756.7630216073883
2013-12-31,955.85,315951484.5867868,87.76430127410745,2.6329290382232236,4.827036570075911,7.372201307025026,953.2170709617768,951.0229634299241,948.4777986929749
2013-11-30,206.18,159320631.76088005,44.2557310446889,1.3276719313406669,2.43406520745789,3.7174814077538683,204.85232806865935,203.74593479254213,202.46251859224614
2013-10-31,132.18,108896621.73454392,30.249061592928868,0.907471847787866,1.663698387611088,2.540921173806025,131.27252815221215,130.51630161238893,129.63907882619398
2013-09-30,138.34,35412991.00900747,9.836941946946519,0.29510825840839555,0.5410318070820586,0.8263031235435077,138.0448917415916,137.79896819291795,137.5136968764565
2013-08-31,104.0,18916962.210422937,5.254711725117483,0.15764135175352448,0.2890091448814616,0.4413957849098686,103.84235864824647,103.71099085511854,103.55860421509013
2013-07-31,88.05,11499450.853720635,3.1942919038112874,0.09582875711433862,0.17568605470962084,0.26832051992014816,87.95417124288566,87.87431394529038,87.78167948007984
2013-06-30,129.3,7951413.564764665,2.208725990212407,0.0662617797063722,0.1214799294616824,0.1855329831778422,129.23373822029365,129.17852007053833,129.11446701682218
2013-05-31,116.99,15856975.526058173,4.404715423905048,0.13214146271715144,0.2422593483147777,0.3699960956080241,116.85785853728284,116.74774065168522,116.62000390439196
2013-04-30,104.0,16877943.28764477,4.688317579901325,0.14064952739703973,0.2578574668945729,0.3938186767117113,103.85935047260296,103.74214253310542,103.60618132328828
