date,avg_efficiency,max_efficiency,open_price,count
2018-10-15,0.0004,0.01021,6325.070599423,0.0
2018-10-16,0.0004,0.01021,6569.003869632,0.0
2018-10-17,0.0004,0.01021,6556.349143916,0.0
2018-10-18,0.0004,0.01021,6520.905375002,0.0
2018-10-19,0.0004,0.01021,6480.163637934,0.0
2018-10-20,0.0004,0.01021,6456.360438816,0.0
2018-10-21,0.0004,0.01021,6465.940550179,0.0
2018-10-22,0.0004,0.01021,6477.219324492,0.0
2018-10-23,0.010295858,0.01021,6465.943343818,1.0
2018-10-24,0.010295858,0.01021,6423.513294184,0.0
2018-10-25,0.010295858,0.01021,6433.232272282,0.0
2018-10-26,0.010295858,0.01021,6420.863227091,0.0
2018-10-27,0.010295858,0.01021,6418.620770569,0.0
2018-10-28,0.010295858,0.01021,6416.549408448,0.0
2018-10-29,0.010295858,0.01021,6406.269060578,0.0
2018-10-30,0.010295858,0.01021,6255.057567736,0.0
2018-10-31,0.010295858,0.01021,6283.631828987,0.0
2018-11-01,0.010295858,0.01021,6299.90390737,0.0
2018-11-02,0.010295858,0.01021,6368.621545495,0.0
2018-11-03,0.010295858,0.01021,6408.420165923,0.0
2018-11-04,0.010295858,0.01021,6386.909849955,0.0
2018-11-05,0.010295858,0.01021,6458.928433763,0.0
2018-11-06,0.010295858,0.01021,6406.484868627,0.0
2018-11-07,0.001101502725,0.01021,6437.632240669,4.0
2018-11-08,0.001101502725,0.01021,6526.888623968,0.0
2018-11-09,0.001101502725,0.01021,6470.006228965,0.0
2018-11-10,0.001101502725,0.01021,6395.744478183,0.0
2018-11-11,0.001101502725,0.01021,6400.034596672,0.0
2018-11-12,0.001101502725,0.01021,6411.278115302,0.0
2018-11-13,0.001101502725,0.01021,6371.733230045,0.0
2018-11-14,0.001101502725,0.01021,6361.400404991,0.0
2018-11-15,0.001101502725,0.01021,5781.032657334,0.0
2018-11-16,0.001101502725,0.01021,5654.209987966,0.0
2018-11-17,0.001101502725,0.01021,5634.790942322,0.0
2018-11-18,0.001101502725,0.01021,5631.943421713,0.0
2018-11-19,0.001101502725,0.01021,5651.276823682,0.0
2018-11-20,0.0008,0.01021,4871.837128436,1.0
2018-11-21,0.0008,0.01021,4502.466997901,0.0
2018-11-22,0.0008,0.01021,4604.937872113,0.0
2018-11-23,0.0008,0.01021,4345.661016088,0.0
2018-11-24,0.0008,0.01021,4369.2081865,0.0
2018-11-25,0.0008,0.01021,3886.472347228,0.0
2018-11-26,0.0008,0.01021,3994.418821674,0.0
2018-11-27,0.0008,0.01021,3800.600009341,0.0
2018-11-28,0.0008,0.01021,3837.958523137,0.0
2018-11-29,0.0008,0.01021,4255.275505341,0.0
2018-11-30,0.0008,0.01021,4303.987285033,0.0
2018-12-01,0.0008,0.02,4036.229874753,0.0
2018-12-02,0.0008,0.02,4206.215757456,0.0
2018-12-03,0.0008,0.02,4150.827310223,0.0
2018-12-04,0.0008,0.02,3905.489738693,0.0
2018-12-05,0.0008,0.02,3965.3634989,0.0
2018-12-06,0.0008,0.02,3772.882544916,0.0
2018-12-07,0.0101930408,0.02,3524.903843125,2.0
2018-12-08,0.0101930408,0.02,3429.741618038,0.0
2018-12-09,0.0101930408,0.02,3457.41952613,0.0
2018-12-10,0.0101930408,0.02,3583.500415102,0.0
2018-12-11,0.0101930408,0.02,3462.686886235,0.0
2018-12-12,0.0014041276,0.02,3397.148741644,5.0
2018-12-13,0.0014041276,0.02,3475.395333172,0.0
2018-12-14,0.0014041276,0.02,3315.712262686,0.0
2018-12-15,0.0101930408,0.02,3239.810072381,2.0
2018-12-16,0.0101930408,0.02,3242.71165726,0.0
2018-12-17,0.0101930408,0.02,3260.535478026,0.0
2018-12-18,0.0101930408,0.02,3519.644005652,0.0
2018-12-19,0.0101930408,0.02,3672.828563746,0.0
2018-12-20,0.0101930408,0.02,3716.951289636,0.0
2018-12-21,0.0101930408,0.02,4104.6300826,0.0
2018-12-22,0.0101930408,0.02,3869.320912253,0.0
2018-12-23,0.0101930408,0.02,3992.590689234,0.0
2018-12-24,0.0101930408,0.02,3974.488113207,0.0
2018-12-25,0.0101930408,0.02,4052.351427424,0.0
2018-12-26,0.0101930408,0.02,3801.990623677,0.0
2018-12-27,0.0032407,0.02,3837.103067651,1.0
2018-12-28,0.0032407,0.02,3642.816541604,0.0
2018-12-29,0.0032407,0.02,3909.576362079,0.0
2018-12-30,0.0032407,0.02,3800.90618573,0.0
2018-12-31,0.0032407,0.02,3863.966826435,0.0
2019-01-01,0.0032407,0.02,3747.289081962,0.0
2019-01-02,0.0032407,0.02,3852.524625595,0.0
2019-01-03,0.0032407,0.02,3935.381479108,0.0
