date,max possible,archaicity,max found,regression
2014-01-15,0.001429,2.33e-05,,0.0005464557727452069
2014-01-16,0.001429,2.33e-05,,0.0005472527979407192
2014-01-17,0.001429,2.33e-05,1.906e-06,0.0005480498231362315
2014-01-18,0.001429,2.33e-05,,0.0005488468483317758
2014-01-19,0.001429,2.33e-05,,0.0005496438735272882
2014-01-20,0.001429,2.33e-05,,0.0005504408987228005
2014-01-21,0.001429,2.33e-05,,0.0005512379239183448
2014-01-22,0.001429,2.33e-05,,0.0005520349491138571
2014-01-23,0.001429,2.33e-05,,0.0005528319743093695
2014-01-24,0.001429,2.33e-05,,0.0005536289995049137
2014-01-25,0.001429,2.33e-05,,0.0005544260247004261
2014-01-26,0.001429,2.33e-05,,0.0005552230498959384
2014-01-27,0.001429,2.33e-05,,0.0005560200750914827
2014-01-28,0.001429,2.33e-05,,0.000556817100286995
2014-01-29,0.001429,0.00025,,0.0005576141254825073
2014-01-30,0.001429,0.00025,,0.0005584111506780197
2014-01-31,0.001429,0.00025,,0.000559208175873564
2014-02-01,0.001429,0.00025,,0.0005600052010690763
2014-02-02,0.001429,0.00025,,0.0005608022262645887
2014-02-03,0.001429,0.00025,,0.000561599251460133
2014-02-04,0.001429,0.00025,,0.0005623962766556453
2014-02-05,0.001429,0.00025,2.0053e-06,0.0005631933018511576
2014-02-06,0.001429,0.00025,,0.0005639903270467019
2014-02-07,0.001429,0.00025,,0.0005647873522422142
2014-02-08,0.001429,0.00025,,0.0005655843774377265
2014-02-09,0.001429,0.00025,,0.0005663814026332708
2014-02-10,0.001429,0.00025,0.0005,0.0005671784278287832
2014-02-11,0.001429,0.00025,,0.0005679754530242956
2014-02-12,0.001429,0.00025,0.0005,0.0005687724782198399
2014-02-13,0.001429,0.00025,,0.0005695695034153522
2014-02-14,0.001429,0.00025,,0.0005703665286108645
2014-02-15,0.001429,0.00025,,0.0005711635538064088
2014-02-16,0.001429,0.00025,,0.0005719605790019211
2014-02-17,0.001429,0.00025,,0.0005727576041974334
2014-02-18,0.001429,0.00025,,0.0005735546293929777
2014-02-19,0.001429,0.00025,,0.00057435165458849
2014-02-20,0.001429,0.00025,,0.0005751486797840025
2014-02-21,0.001429,0.00025,,0.0005759457049795468
2014-02-22,0.001429,0.00025,,0.0005767427301750591
2014-02-23,0.001429,0.00025,,0.0005775397553705714
2014-02-24,0.001429,0.00025,,0.0005783367805661157
2014-02-25,0.001429,0.00025,6.420000000000001e-07,0.000579133805761628
2014-02-26,0.001429,0.00025,,0.0005799308309571403
2014-02-27,0.001429,0.00025,,0.0005807278561526846
2014-02-28,0.001429,0.00025,,0.0005815248813481969
2014-03-01,0.001429,0.00025,,0.0005823219065437093
2014-03-02,0.001429,0.00025,,0.0005831189317392536
2014-03-03,0.002,0.00025,,0.0005839159569347659
2014-03-04,0.002,0.00025,,0.0005847129821302782
2014-03-05,0.002,0.00025,,0.0005855100073258226
2014-03-06,0.002,0.00025,,0.0005863070325213349
2014-03-07,0.002,0.00025,,0.0005871040577168472
2014-03-08,0.002,0.00025,,0.0005879010829123915
2014-03-09,0.002,0.00025,0.001,0.0005886981081079038
2014-03-10,0.002,0.00025,,0.0005894951333034161
2014-03-11,0.002,0.00025,,0.0005902921584989285
2014-03-12,0.002,0.00025,,0.0005910891836944728
2014-03-13,0.002,0.00025,,0.0005918862088899851
2014-03-14,0.002,0.00025,,0.0005926832340854974
2014-03-15,0.002,0.00025,,0.0005934802592810417
2014-03-16,0.002,0.00025,,0.0005942772844765541
2014-03-17,0.002,0.00025,,0.0005950743096720664
2014-03-18,0.002,0.00025,,0.0005958713348676107
