date,row_index,hardware_name,TH/J,max_efficiency,year
2018-02-09,548,Antminer S9 13.5th/s,0.010204081632653,0.01021,2018
2018-02-09,549,Antminer S9,0.010204081632653,0.01021,2018
2018-02-09,550,Antminer T9+,0.0079314720812182,0.01021,2018
2018-02-09,551,Antminer T9+,0.0079314720812182,0.01021,2018
2018-02-09,554,Antminer S9,0.010204081632653,0.01021,2018
2018-02-10,555,Antminer S9,0.010204081632653,0.01021,2018
2018-02-11,564,Antminer S7,0.0036581593194122,0.01021,2018
2018-02-13,592,Antminer S7,0.0038737446197991,0.01021,2018
2018-02-13,593,Avalon 741,0.0063478260869565,0.01021,2018
2018-02-15,619,Antminer S9,0.010204081632653,0.01021,2018
2018-02-18,633,Antminer S9,0.010204081632653,0.01021,2018
2018-02-19,644,Antminer S9,0.010204081632653,0.01021,2018
2018-02-20,646,Antminer S9,0.010204081632653,0.01021,2018
2018-02-20,648,Antminer S9,0.010204081632653,0.01021,2018
2018-02-21,657,Antminer S7,0.0038737446197991,0.01021,2018
2018-02-21,661,Antminer S9,0.010204081632653,0.01021,2018
2018-02-22,671,Antminer S9,0.010204081632653,0.01021,2018
2018-02-23,680,Antminer S9,0.010204081632653,0.01021,2018
2018-02-23,681,Antminer S9,0.010204081632653,0.01021,2018
2018-02-24,688,Bitmain Antminer S9,0.010204081632653,0.01021,2018
2018-02-26,699,Bitmain Antminer S9,0.010204081632653,0.01021,2018
2018-02-26,702,Bitmain Antminer S9,0.010204081632653,0.01021,2018
2018-02-26,707,Bitmain Antminer S9,0.010204081632653,0.01021,2018
2018-02-26,712,MicroBT Whatsminer M3,0.006,0.01021,2018
2018-02-27,713,Bitmain Antminer S9,0.010204081632653,0.01021,2018
2018-02-27,716,Bitmain Antminer S9,0.010204081632653,0.01021,2018
2018-02-28,722,Bitmain Antminer S9,0.010204081632653,0.01021,2018
2018-02-28,725,Bitmain Antminer S9,0.010204081632653,0.01021,2018
2018-02-28,728,Bitmain Antminer S9,0.010204081632653,0.01021,2018
2018-02-28,732,Bitmain Antminer S9,0.010204081632653,0.01021,2018
2018-02-28,735,Bitmain Antminer S9,0.010204081632653,0.01021,2018
2018-02-28,736,Canaan AvalonMiner 741,0.0063478260869565,0.01021,2018
2018-03-01,745,Bitmain Antminer S5,0.001957627118644,0.01021,2018
2018-03-01,746,Bitmain Antminer S7,0.0036581593194122,0.01021,2018
2018-03-02,752,Bitmain Antminer S9,0.010204081632653,0.01021,2018
2018-03-02,754,Bitmain Antminer S9,0.010204081632653,0.01021,2018
2018-03-03,760,Bitmain Antminer S9,0.010204081632653,0.01021,2018
2018-03-03,761,Bitmain Antminer S7,0.0036581593194122,0.01021,2018
2018-03-04,767,Bitmain Antminer S9,0.010204081632653,0.01021,2018
2018-03-06,772,Bitmain Antminer S5,0.001957627118644,0.01021,2018
2018-03-06,775,Bitmain Antminer S9,0.010204081632653,0.01021,2018
2018-03-06,779,Bitmain Antminer S5,0.001957627118644,0.01021,2018
2018-03-06,780,Bitmain Antminer S3,0.0013060109289617,0.01021,2018
2018-03-06,781,Bitmain Antminer S9,0.010204081632653,0.01021,2018
2018-03-06,787,Bitmain Antminer S9,0.010204081632653,0.01021,2018
2018-03-06,792,Bitmain Antminer S7,0.0036581593194122,0.01021,2018
2018-03-07,799,Bitmain Antminer S7,0.0036581593194122,0.01021,2018
2018-03-08,800,Bitmain Antminer S9,0.010204081632653,0.01021,2018
2018-03-08,801,BITMAIN Antminer V9,0.0038948393378773,0.01021,2018
2018-03-09,804,Canaan AvalonMiner 741,0.0063478260869565,0.01021,2018
2018-03-09,811,Bitmain Antminer S9,0.010204081632653,0.01021,2018
2018-03-10,815,Canaan AvalonMiner 741,0.0063478260869565,0.01021,2018
2018-03-10,817,Antminer S9,0.010204081632653,0.01021,2018
2018-03-10,819,antminer s9,0.010204081632653,0.01021,2018
2018-03-10,821,Antminer S9,0.010204081632653,0.01021,2018
2018-03-11,827,Avalon 741,0.0063478260869565,0.01021,2018
