row_index,hardware_name,hardware_index,hardware_price_usd,date,Mhash/s/$,Mhash/J
464,100FT CAT6 Network Cable,-1,,2014-01-13,,
465,Anker hubs,-1,,2014-01-13,,
466,ARCTIC B,-1,,2014-01-13,,
467,5ft Cat6 Snagless Ethernet Cable,-1,,2014-01-13,,
468,WD My Net Switch - 8 Port Gigabit Network Switch,-1,28.99,2014-01-13,,
469,Jally connector,-1,,2014-01-13,,
470,10 port powered USB 2.0 hub,-1,14.99,2014-01-13,,
471,ANTMINER U1,-1,63.239,2014-01-14,,
472,Avalon 1.2Th/s,-1,,2014-01-14,,
473,Professional quality USB hubs,-1,,2014-01-14,,
474,Avalon 200Gh/s,-1,,2014-01-14,,
475,P2Pool,-1,,2014-01-15,,
476,CGMiner,-1,,2014-01-15,,
477,<link> Labs,-1,,2014-01-17,,
478,Raedon 7970 cards,118,,2014-01-17,411.67,1.9060
479,<link> Bitcoim Asic 100 GH/s,-1,,2014-01-17,,
480,550 GH/s asic machines,-1,,2014-01-17,,
481,AntMiner U1,-1,37120.05,2014-01-21,,
482,AntMiner U1,-1,74.24,2014-01-21,,
483,KNC November Saturn,-1,,2014-01-21,,
484,for,-1,,2014-01-24,,
485,BFL,-1,,2014-01-24,,
486,ASICMiner Cubes,-1,407.375,2014-01-26,,
487,TerraMinerIV,-1,2.9,2014-01-27,,
488,Red Fury bitcoin miner 2.2~2.7 GH/s,-1,,2014-01-28,,
489,ASICMiner Cube,-1,392.755,2014-01-28,,
490,ASICMiner Block Erupter USB 336MH/s Sapphire Miners,-1,,2014-01-28,,
491,Antminer U1 USB Block Erupter 1.6Gh/s,-1,,2014-01-28,,
492,Doc's Instant Hash R1,-1,79.899,2014-01-30,,
493,Avalon miner,-1,2000,2014-01-31,,
494,Avalon miner,-1,1800,2014-02-05,,
495,7xxx,-1,,2014-02-05,,
496,5970,119,,2014-02-05,700.97,2.0053
497,Magma backplane boards,-1,250,2014-02-05,,
498,Asus boards,-1,,2014-02-05,,
499,MSI 890FXA,-1,,2014-02-05,,
500,Antminer S1,0,998.093,2014-02-10,180000,500
501,Dualminer USB ASIC sha/scrypt miner,-1,85,2014-02-11,,
502,Antminer S1,0,945.385,2014-02-12,180000,500
503,Antminer S1,0,945.385,2014-02-12,180000,500
504,Avalon mining machine,-1,948.0,2014-02-17,,
